Year,Month,Expenditure On R&D,Net Debt,RPI,Output Per Worker,House Prices,Wage - Annual Growth,Infex Of Production,Unemployed,Net Investment By UK Institutions,GDP
2014,12,31666.92,1556.5,257.5,99.5,209871.58,3.86,98.5,1861,-2346,466525.33
2015,1,31766,1534.5,255.4,99.37,209982.3,3.9,98.4,1845,6369,467295
2015,2,31879.67,1538.1,256.7,99.23,211509.54,3.94,98.8,1830,6274.33,469939.67
2015,3,31993.33,1554.7,257.1,99.1,213036.78,3.98,99.3,1822,6179.67,472584.33
2015,4,32107,1553.7,258,99.4,214564.02,4.03,99.4,1847,6085,475229
2015,5,32220.67,1565.8,258.5,99.7,214884.55,4.07,99.6,1848,8890.33,475333
2015,6,32334.33,1580.7,258.9,100,215205.08,4.11,99.5,1820,11695.67,475437
2015,7,32448,1573.6,258.6,99.87,215525.62,4.15,98.7,1772,14501,475541
2015,8,32561.67,1572.7,259.8,99.73,215812.23,4.19,99.3,1752,9877.67,476285.33
2015,9,32675.33,1589.6,259.6,99.6,216098.84,4.23,99.7,1713,5254.33,477029.67
2015,10,32789,1592.3,259.5,99.53,216385.46,4.28,99.5,1684,631,477774
2015,11,32902.67,1599.5,259.8,99.47,216942.02,4.32,98.5,1692,-5559.67,480291.33
2015,12,33016.33,1608.9,260.6,99.4,217498.58,4.36,97.8,1688,-11750.33,482808.67
2016,1,33130,1588.8,258.8,99.47,218055.14,4.4,98.7,1705,-17941,485326
2016,2,33243.67,1586.6,260,99.53,219504.73,4.44,98.7,1693,-5516.33,486715.33
2016,3,33357.33,1602.6,261.1,99.6,220954.32,4.48,98.7,1676,6908.33,488104.67
2016,4,33471,1607.4,261.4,99.57,222403.91,4.53,101.3,1647,19333,489494
2016,5,33584.67,1614.9,262.1,99.53,222602.01,4.57,100.3,1640,14607,490906
2016,6,33698.33,1624.9,263.1,99.5,222800.11,4.61,99.9,1630,9881,492318
2016,7,33812,1614.3,263.4,99.67,222998.21,4.65,100.1,1658,5155,493730
2016,8,33925.67,1622.3,264.4,99.83,222404.33,4.69,100.1,1606,-631.33,496144.67
2016,9,34039.33,1640,264.9,100,221810.45,4.73,100.1,1612,-6417.67,498559.33
2016,10,34153,1642.6,264.8,100.27,221216.56,4.78,98.8,1600,-12204,500974
2016,11,34266.67,1662.6,265.5,100.53,220952.22,4.82,101,1594,-12176.67,502992
2016,12,34380.33,1697.2,267.1,100.8,220687.88,4.86,102.2,1580,-12149.33,505010
2017,1,34494,1681.1,265.5,100.8,220423.53,4.9,101.7,1559,-12122,507028
2017,2,34607.67,1694.5,268.4,100.8,220553.97,4.94,100.8,1541,-678.33,507641.67
2017,3,34721.33,1726.7,269.3,100.8,220684.42,4.98,100.4,1530,10765.33,508255.33
2017,4,34835,1720.3,270.6,100.77,220814.86,5.03,100.7,1495,22209,508869
2017,5,34948.67,1736.7,271.7,100.73,220680.31,5.07,101.3,1484,19150,510665.33
2017,6,35062.33,1759.3,272.3,100.7,220545.75,5.11,101.7,1455,16091,512461.67
2017,7,35176,1760,272.9,100.87,220411.2,5.15,101.9,1443,13032,514258
2017,8,35289.67,1766,274.7,101.03,219744.12,5.19,101.8,1425,12249.33,515996.67
2017,9,35403.33,1786.1,275.1,101.2,219077.04,5.23,103.1,1429,11466.67,517735.33
2017,10,35517,1789.7,275.3,101.27,218409.96,5.28,103.1,1439,10684,519474
2017,11,35630.67,1735.8,275.8,101.33,218244.68,5.32,103.2,1470,3318.33,520444
2017,12,35744.33,1760.3,278.1,101.4,218079.4,5.36,102.3,1453,-4047.33,521414
2018,1,35858,1741.6,276,101.2,217914.11,5.4,103,1423,-11413,522384
2018,2,35859,1762.9,278.1,101,218056.64,5.44,103.1,1425,-8765.67,524082.33
2018,3,35860,1778.9,278.3,100.8,218199.16,5.48,102.9,1416,-6118.33,525780.67
2018,4,35861,1777.1,279.7,100.9,218341.69,5.53,102.3,1411,-3471,527479
2018,5,35862,1780.9,280.7,101,218160.08,5.57,101.9,1360,-6198.67,529301
2018,6,35863,1790.3,281.5,101.1,217978.47,5.61,102.8,1361,-8926.33,531123
2018,7,35864,1776.6,281.7,101.27,217796.86,5.65,103.1,1363,-11654,532945
2018,8,35865,1782.2,284.2,101.43,216590.67,5.69,103.2,1381,-9206.35,532946
2018,9,35866,1790.4,284.1,101.6,215384.47,5.73,102.6,1380,-9569.02,532947
2018,10,35867,1792.5,284.5,101.77,214178.28,5.78,102.1,1372,-9931.7,533858.5
2018,11,35868,1795.2,284.6,101.93,214179.28,5.82,101.7,1383.1,-10294.38,534405.8
2018,12,35887.78,1808.9,285.6,102.1,214180.28,5.86,101.15,1387,-10657.06,534953.1
