Year,Month,Net Borrowing,Expenditure On R&D,Net Debt,Balance Of Payments,RPI,Output Per Worker,House Prices,Wage - Annual Growth,Infex Of Production,Unemployed,Net Investment By UK Institutions,GDP,Inflation
2016,4,9004,33471,1607.4,-2043,261.4,99.57,222403.91,4.53,101.3,1647,19333,489494,0.7
2016,5,7029,33584.67,1614.9,-868,262.1,99.53,222602.01,4.57,100.3,1640,14607,490906,0.7
2016,6,4781,33698.33,1624.9,-3307,263.1,99.5,222800.11,4.61,99.9,1630,9881,492318,0.8
2016,7,340,33812,1614.3,-3279,263.4,99.67,222998.21,4.65,100.1,1658,5155,493730,0.9
2016,8,6840,33925.67,1622.3,-4971,264.4,99.83,222404.33,4.69,100.1,1606,-631.33,496144.67,1
2016,9,6548,34039.33,1640,-5490,264.9,100,221810.45,4.73,100.1,1612,-6417.67,498559.33,1.3
2016,10,7434,34153,1642.6,-211,264.8,100.27,221216.56,4.78,98.8,1600,-12204,500974,1.3
2016,11,8798,34266.67,1662.6,-1684,265.5,100.53,220952.22,4.82,101,1594,-12176.67,502992,1.5
2016,12,4976,34380.33,1697.2,-2333,267.1,100.8,220687.88,4.86,102.2,1580,-12149.33,505010,1.8
2017,1,-11705,34494,1681.1,-1758,265.5,100.8,220423.53,4.9,101.7,1559,-12122,507028,1.9
2017,2,-1242,34607.67,1694.5,-1555,268.4,100.8,220553.97,4.94,100.8,1541,-678.33,507641.67,2.3
2017,3,2082,34721.33,1726.7,-3370,269.3,100.8,220684.42,4.98,100.4,1530,10765.33,508255.33,2.3
2017,4,9062,34835,1720.3,-402,270.6,100.77,220814.86,5.03,100.7,1495,22209,508869,2.6
2017,5,7025,34948.67,1736.7,-2369,271.7,100.73,220680.31,5.07,101.3,1484,19150,510665.33,2.7
2017,6,6279,35062.33,1759.3,-4194,272.3,100.7,220545.75,5.11,101.7,1455,16091,512461.67,2.6
2017,7,-833,35176,1760,-2086,272.9,100.87,220411.2,5.15,101.9,1443,13032,514258,2.6
2017,8,4406,35289.67,1766,-2640,274.7,101.03,219744.12,5.19,101.8,1425,12249.33,515996.67,2.7
2017,9,5011,35403.33,1786.1,-639,275.1,101.2,219077.04,5.23,103.1,1429,11466.67,517735.33,2.8
2017,10,7356,35517,1789.7,-1162,275.3,101.27,218409.96,5.28,103.1,1439,10684,519474,2.8
2017,11,8014,35630.67,1735.8,-1977,275.8,101.33,218244.68,5.32,103.2,1470,3318.33,520444,2.8
2017,12,2674,35744.33,1760.3,-1781,278.1,101.4,218079.4,5.36,102.3,1453,-4047.33,521414,2.7
2018,1,-9307,35858,1741.6,-1811,276,101.2,217914.11,5.4,103,1423,-11413,522384,2.7
2018,2,1373,35859,1762.9,-461,278.1,101,218056.64,5.44,103.1,1425,-8765.67,524082.33,2.5
2018,3,844,35860,1778.9,-2767,278.3,100.8,218199.16,5.48,102.9,1416,-6118.33,525780.67,2.3
2018,4,5532,35861,1777.1,-2944,279.7,100.9,218341.69,5.53,102.3,1411,-3471,527479,2.2
2018,5,4156,35862,1780.9,-2722,280.7,101,218160.08,5.57,101.9,1360,-6198.67,529301,2.3
2018,6,3166,35863,1790.3,-1342,281.5,101.1,217978.47,5.61,102.8,1361,-8926.33,531123,2.3
2018,7,-3338,35864,1776.6,-2477,281.7,101.27,217796.86,5.65,103.1,1363,-11654,532945,2.3
2018,8,5606,35865,1782.2,-4330,284.2,101.43,216590.67,5.69,103.2,1381,-9206.35,532946,2.4
2018,9,3067,35866,1790.4,-1976,284.1,101.6,215384.47,5.73,102.6,1380,-9569.02,532947,2.2
2018,10,7656,35867,1792.5,-3037,284.5,101.77,214178.28,5.78,102.1,1372,-9931.7,533858.5,2.2
2018,11,7116,35868,1795.2,-2904,284.6,101.93,214179.28,5.82,101.7,1383.1,-10294.38,534405.8,2.2
2018,12,2976,35887.78,1808.9,-2650,285.6,102.1,214180.28,5.86,101.15,1387,-10657.06,534953.1,2
